,Time step,Prey number,Predator number
0,0,25,3
1,1,25,3
2,2,28,3
3,3,27,3
4,4,29,4
5,5,26,4
6,6,25,4
7,7,25,5
8,8,24,6
9,9,24,7
10,10,24,10
11,11,24,8
12,12,22,6
13,13,21,7
14,14,20,8
15,15,21,7
16,16,22,8
17,17,22,7
18,18,16,8
19,19,15,8
20,20,13,8
21,21,10,8
22,22,9,8
23,23,9,8
24,24,8,7
25,25,9,7
26,26,9,7
27,27,9,7
28,28,11,7
29,29,11,7
30,30,11,7
31,31,11,7
32,32,10,7
33,33,7,8
34,34,6,8
35,35,6,8
36,36,6,8
37,37,7,8
38,38,6,8
39,39,6,8
40,40,7,7
41,41,8,7
42,42,7,7
43,43,8,7
44,44,5,7
45,45,4,6
46,46,4,6
47,47,4,6
48,48,3,6
49,49,3,5
50,50,3,5
51,51,3,5
52,52,3,5
53,53,3,4
54,54,4,4
55,55,4,4
56,56,3,4
57,57,3,3
58,58,3,3
59,59,3,3
60,60,2,3
61,61,2,3
62,62,2,3
63,63,2,3
64,64,2,3
65,65,2,3
66,66,2,3
67,67,2,3
68,68,2,3
69,69,2,3
70,70,3,3
71,71,4,3
72,72,4,3
73,73,4,3
74,74,5,3
75,75,6,3
76,76,7,3
77,77,7,3
78,78,8,3
79,79,9,3
80,80,9,3
81,81,10,3
82,82,10,2
83,83,10,2
84,84,10,2
85,85,10,2
86,86,12,2
87,87,13,2
88,88,15,2
89,89,14,2
90,90,13,2
91,91,14,2
92,92,14,3
93,93,14,3
94,94,14,3
95,95,17,3
96,96,16,3
97,97,16,4
98,98,14,6
99,99,12,6
100,100,12,6
