,Time step,Prey number,Predator number
0,0,50,30
1,1,49,30
2,2,46,30
3,3,44,30
4,4,47,29
5,5,50,28
6,6,52,28
7,7,55,26
8,8,59,24
9,9,61,24
10,10,65,23
11,11,63,23
12,12,59,23
13,13,60,22
14,14,62,22
15,15,63,22
16,16,69,22
17,17,70,22
18,18,74,22
19,19,72,22
20,20,74,24
21,21,76,23
22,22,77,23
23,23,80,22
24,24,80,19
25,25,87,20
26,26,89,20
27,27,90,20
28,28,96,20
29,29,100,20
30,30,107,20
31,31,110,20
32,32,110,21
33,33,113,19
34,34,117,18
35,35,120,19
36,36,123,19
37,37,127,18
38,38,134,19
39,39,138,20
40,40,145,19
41,41,150,19
42,42,152,18
43,43,164,18
44,44,174,18
45,45,177,18
46,46,182,18
47,47,190,18
48,48,201,18
49,49,210,18
50,50,218,20
51,51,227,21
52,52,233,21
53,53,243,21
54,54,252,22
55,55,256,22
56,56,263,23
57,57,279,23
58,58,285,23
59,59,301,24
60,60,320,22
61,61,327,23
62,62,331,26
63,63,336,29
64,64,344,32
65,65,349,32
66,66,355,32
67,67,364,33
68,68,383,33
69,69,383,36
70,70,394,39
71,71,413,38
72,72,432,39
73,73,434,40
74,74,450,43
75,75,446,46
76,76,462,47
77,77,469,51
78,78,476,57
79,79,478,58
80,80,482,62
81,81,490,63
82,82,490,68
83,83,491,71
84,84,484,79
85,85,484,84
86,86,473,90
87,87,446,103
88,88,421,103
89,89,406,106
90,90,389,109
91,91,362,111
92,92,347,115
93,93,334,120
94,94,320,127
95,95,304,133
96,96,285,138
97,97,284,144
98,98,276,145
99,99,255,154
100,100,240,161
